Stage,Part Code,Product,Date,Card Serial Number,Faults Observed,Repaired Date,Repairing Corrective Action,Possible Reason,Fault Category
Burn-in,HE512865,3kW_SMR,18/05/2022,HE512865#d52210421660806,BLAST,19/05/2022,"u6,u7,u10,c158,c159,c170,d32,d33,q30,zd7,r120,r121 ",Blast due to d33 broken,COMPONENT dAMAGE/MISS ISSUE
Burn-in,HE512865,3kW_SMR,19/05/2022,HE512865#d52210422540254,O/P FAIL,19/05/2022,"tx1,tx3",transformer burn(victor),MAGNETICS ISSUE
Burn-in,HE512865,3kW_SMR,25/05/2022,HE512865#d52210422840415,BLAST,26/05/2022,"c11,c12,c13,d4",comp. fail,COMPONENT FAIL ISSUE
Burn-in,HE512865,3kW_SMR,25/05/2022,HE512865#d52210422840046,ACABN,26/05/2022,cc,low boost acabc fail,CONTROL CARd ISSUE
Burn-in,HE512865,3kW_SMR,25/05/2022,HE512865#d52210422840372,BLAST,26/05/2022,"tx1,tx3",T/F burnt (Elcom),MAGNETICS ISSUE
ATE,HE513180,Solar_SMR,07/05/2022,HE513180#d52210421400455,CURRENT CALLIBRATION FAIL,11/05/2022,cc,,CONTROL CARd ISSUE
ATE,HE513180,Solar_SMR,07/05/2022,HE513180#d52210421400450,ptc-4,11/05/2022,cc,c210 missing,CONTROL CARd ISSUE
ATE,HE512865,3kW_SMR,10/05/2022,HE512865#d52210421660464,NO O/P,10/05/2022,cc,,CONTROL CARd ISSUE
ATE,HE512865,3kW_SMR,10/05/2022,HE512865#d52210421660107,O/P FAIL,10/05/2022,scrap,inductor burn(elcom),MAGNETICS ISSUE
ATE,HE512865,3kW_SMR,10/05/2022,HE512865#d52210421660012,IP THd FAIL,10/05/2022,PFC H.S insulator,PFC H.S insulator puncture,COMPONENT dAMAGE/MISS ISSUE
ATE,HE513140,2kW_SMR,11/05/2022,HE513140#d52210422020090,o/p fail,12/05/2022,u6,comp. fail,COMPONENT FAIL ISSUE
